date,home_team,away_team,home_win,runs_scored_diff,runs_allowed_diff,season_run_diff_diff,recent_win_pct_diff,rest_days_diff
2026-03-31,Los Angeles Dodgers,Cleveland Guardians,1,1.1,1.7999999999999998,2.9,0.15000000000000002,0
2026-04-01,Atlanta Braves,Athletics,1,0.5999999999999996,2.2,2.8,0.39999999999999997,0
2026-04-01,Baltimore Orioles,Texas Rangers,1,-2.1999999999999997,-1.0,-3.2,-0.4,0
2026-04-01,Cincinnati Reds,Pittsburgh Pirates,0,-1.4000000000000004,0.9999999999999996,-0.4,0.19999999999999996,0
2026-04-01,Philadelphia Phillies,Washington Nationals,1,-3.1999999999999997,-1.7999999999999998,-5.0,-0.19999999999999996,0
2026-04-01,Toronto Blue Jays,Colorado Rockies,0,0.7999999999999998,-1.2000000000000002,-0.4,0.6000000000000001,0
2026-04-01,Miami Marlins,Chicago White Sox,1,0.39999999999999947,4.800000000000001,5.2,0.6000000000000001,0
2026-04-01,St. Louis Cardinals,New York Mets,1,1.0,-1.8000000000000003,-0.8,0.0,0
2026-04-01,Milwaukee Brewers,Tampa Bay Rays,1,1.8000000000000007,3.0,4.800000000000001,0.4,0
2026-04-01,Houston Astros,Boston Red Sox,1,3.9,0.5333333333333332,4.433333333333334,0.4666666666666666,0
2026-04-01,Chicago Cubs,Los Angeles Angels,1,-0.033333333333333215,0.4333333333333327,0.4,-0.09999999999999998,0
2026-04-01,Arizona Diamondbacks,Detroit Tigers,1,0.0,-0.8000000000000007,-0.8,0.0,0
2026-04-01,San Diego Padres,San Francisco Giants,1,-0.20000000000000018,-1.4,-1.6,-0.2,0
2026-04-01,Seattle Mariners,New York Yankees,0,0.20000000000000018,-2.5666666666666664,-2.3666666666666667,-0.30000000000000004,0
2026-04-01,Kansas City Royals,Minnesota Twins,1,-0.75,0.0,-0.75,0.25,0
2026-04-01,Los Angeles Dodgers,Cleveland Guardians,0,1.4000000000000004,2.066666666666667,3.466666666666667,0.30000000000000004,0
